,lat,lng,demand_score
209,42.2621,-71.80145,1881.7025976260916
210,42.28592,-71.82853,9671.964016211316
211,42.24645,-71.80968,11033.202178351237
212,42.23945,-71.87702,891.5381021107609
213,42.31037,-71.93095,2259.161793540707
214,42.32195,-71.43796,14742.769394330177
215,42.28242,-71.43428,15933.85816591596
216,42.52165,-71.42983,230.78319528421184
217,42.48837,-71.51779,2644.644953257606
218,42.48397,-71.43809,10755.024327192972
219,42.25726,-71.46867,8694.815953453424
220,42.4995,-71.27799,7118.880035953602
221,42.46422,-71.28202,596.4238636417018
222,42.43616,-71.60728,2631.566227602311
223,42.53001,-71.35128,2850.7635275092252
224,42.46221,-71.36504,9295.795447260785
225,42.29155,-71.50101,356.6864883281014
226,42.19775,-71.44499,6892.352748301677
227,42.12477,-71.535,2359.153804873587
228,42.2255,-71.53781,9848.20418882448
229,42.38868,-71.54648,8047.878904521979
230,42.3494,-71.54681,17476.097157414057
231,42.4264,-71.45607,4805.161995510941
232,42.09301,-71.55146,2507.4420723223843
233,42.15723,-71.51978,11831.515761780185
234,42.28436,-71.34966,17765.533140755233
235,42.23416,-71.37532,2429.7360648298345
236,42.30144,-71.5304,4770.047411764674
237,42.42572,-71.31013,2831.670461778969
238,42.42983,-71.51146,3430.937746525513
239,42.38456,-71.42316,10297.433069521016
240,42.3583,-71.35895,7436.176928769244
241,42.48694,-71.15415,17351.276869213983
242,42.5028,-71.20147,11659.953841252829
243,42.64669,-71.16517,17708.962241511792
244,42.54999,-71.25206,13247.57674507359
245,42.59156,-71.35553,11901.934380960813
246,42.68323,-71.30063,12842.269913770844
247,42.67643,-71.50052,1632.2583871999811
248,42.7959,-71.05323,9976.268676624122
249,42.79099,-71.13133,9784.3013181365
250,42.72409,-70.9821,3821.3697933926937
251,42.75198,-71.01486,2995.9625829181964
252,42.75292,-71.08602,5810.03216663679
253,42.70695,-71.16014,2537.9960082484054
254,42.71077,-71.16494,16266.737582405522
255,42.68985,-71.16095,10189.495549488218
256,42.73426,-71.18858,19419.773265338645
257,42.67132,-71.08669,14201.171778527732
258,42.65569,-71.30292,5958.5696634330325
259,42.62915,-71.33674,11448.235158113217
260,42.63231,-71.29538,14262.386040698795
261,42.64939,-71.34827,11358.920462441678
262,42.83858,-71.01194,2431.2506764060695
263,42.57427,-71.29437,5091.663826139789
264,42.63274,-71.39132,4060.1801199618117
265,42.58156,-71.08759,6941.4286538321485
266,42.53505,-71.1055,11877.891577323693
267,42.61206,-71.22733,13067.808567148364
268,42.66626,-71.42911,4950.888797925554
269,42.50348,-71.06559,12097.803237540727
270,42.58642,-71.44008,11576.494091809642
271,42.56091,-71.16541,10138.518439618465
272,42.45177,-71.14628,12132.03731241193
273,42.46125,-70.94639,707.7277472310669
274,42.4712,-70.93983,17752.436221534637
275,42.49151,-70.97166,7494.83571757304
276,42.46355,-70.9733,9271.379631637396
277,42.46922,-71.01299,10827.814841368256
278,42.47572,-70.90684,6797.3967293264
279,42.42856,-70.92614,1463.9581779381017
280,42.85297,-70.94459,7164.697737598057
281,42.56841,-70.8647,18236.62759485786
282,42.6815,-71.01887,4053.652044298051
283,42.75862,-70.91758,1803.5870119207736
284,42.57398,-70.94923,11802.581378895053
285,42.63478,-70.77684,1473.8213201218696
286,42.62605,-70.68966,11675.93441358657
287,42.58579,-70.98406,52.87973003979967
288,42.68568,-70.83989,5878.64907864002
289,42.53523,-71.03695,6089.839230642037
290,42.58154,-70.76825,3003.1033587353418
291,42.49924,-70.86348,10199.117856353078
292,42.6043,-71.01641,4583.933876635255
293,42.81237,-70.88785,8333.66470178419
294,42.77742,-70.85022,1383.5508310101002
295,42.84655,-70.86163,3712.6404512670783
296,42.53374,-70.97222,21105.819111629044
297,42.56294,-70.82996,419.6056958542697
298,42.65432,-70.62227,2725.3638688658984
299,42.72235,-70.88832,2607.2977413322674
300,42.51298,-70.90266,19482.9681568698
301,42.62669,-70.85789,3031.015650144583
302,42.63728,-70.94251,2997.6598339102043
